CLE;NATURE;NOM;SITUATION;GEOMETRIE;X_LONG;Y_LAT
15797;Couloir bus;briand;;LINESTRING (-0.579198222667266 44.8323067568929, -0.577871320852776 44.8320179840347, -0.577248827280317 44.8318807267887, -0.575746952348646 44.8315402297355, -0.575465309512465 44.8314753047236, -0.575222013270332 44.8314183622953, -0.574556753521482 44.8312730661831, -0.574415993731274 44.831240555354, -0.573390461808884 44.8310237863405);-0,579198222667266;44,8323067568929
16401;Piste bidirectionnelle;rue Cérey;impair;LINESTRING (-0.617474985087132 44.8552165070082, -0.616370732844729 44.8559480183588);-0,617474985087132;44,8552165070082
15915;Bande unilatérale;canolle;pair;LINESTRING (-0.602865609138517 44.8290775719752, -0.602753740082856 44.8288999591837, -0.602636355921991 44.8288102607457, -0.602557503574856 44.8287071812073, -0.602375724834042 44.8284054865399, -0.601756337717174 44.8273523983573, -0.601636677288678 44.8272383588651, -0.601532396305654 44.8271779717064);-0,602865609138517;44,8290775719752
15839;Zone 30;ornano;;LINESTRING (-0.598310190209721 44.8314722417271, -0.597208034532591 44.8318060743516, -0.595821574555208 44.8322114880669, -0.595351142692026 44.8323472440038, -0.594533727872387 44.8325846725543, -0.594215103108447 44.832651849869, -0.593821741412417 44.8327730937029, -0.59194664863032 44.8333156814768);-0,598310190209721;44,8314722417271
16415;Double sens;rue du Hâ;pair;LINESTRING (-0.577428990742485 44.8360992147452, -0.577798984095326 44.8360717274141);-0,577428990742485;44,8360992147452
16400;Double sens;rue Cérey;pair;LINESTRING (-0.619858478273164 44.8528174227749, -0.619782457020055 44.8529840606235);-0,619858478273164;44,8528174227749
16255;Double sens;rue Boulan;pair;LINESTRING (-0.579551954643095 44.8387580218884, -0.580744166887956 44.8386065599571);-0,579551954643095;44,8387580218884
15885;Couloir bus;ecole normale;;LINESTRING (-0.602341759966225 44.8479119838109, -0.601907935684254 44.8477763572698, -0.60089789675715 44.8474290711101, -0.60013091751583 44.8471677765048, -0.599539960627574 44.8469936943339);-0,602341759966225;44,8479119838109
16117;Bande bilatérale;jean fleuret;pair et impair;LINESTRING (-0.586892305056613 44.8363004342993, -0.582945876525881 44.8366587990973, -0.582744778717173 44.8367353041194, -0.582688502692395 44.8367892328636);-0,586892305056613;44,8363004342993
15754;Couloir bus;;pair;LINESTRING (-0.616396298937461 44.8559316219484, -0.615002554824881 44.8554816980361, -0.614693110751326 44.8554143237051);-0,616396298937461;44,8559316219484
15751;Double sens;rue Duret;impair;LINESTRING (-0.562321091268755 44.8601695012867, -0.563144772525876 44.8609502955312);-0,562321091268755;44,8601695012867
15851;Bande unilatérale;XXX juillet;pair;LINESTRING (-0.574508095159949 44.8438043392523, -0.574346326997338 44.8429052832111);-0,574508095159949;44,8438043392523
15865;Bande unilatérale;;impair;LINESTRING (-0.560749998063804 44.8281801788303, -0.560103844478513 44.8291868645834);-0,560749998063804;44,8281801788303
